70114;11;C;118816;1;1428;Vendita piani;VE;0;40;
80114;45;C;118882;1;4345;Vendita piani;VE;0;20;
80114;46;C;118883;1;4345;Vendita piani;VE;0;20;
100114;64;C;119053;1;3170;Vendita piani;VE;0;60;
140114;99;C;119084;1;1444;Vendita piani;VE;0;20;
150114;136;C;119121;1;1428;Vendita piani;VE;0;20;
150114;138;C;119113;1;308;Vendita piani;VE;0;20;
210114;200;C;119190;1;4829;Vendita piani;VE;0;40;
280114;312;C;119288;1;3843;Vendita piani;VE;0;40;
40214;425;C;119387;1;857;Vendita piani;VE;0;40;
70214;472;C;119450;1;2673;Vendita piani;VE;0;40;
100214;487;C;119466;1;2057;Vendita piani;VE;0;100;
120214;519;C;119521;1;1444;Vendita piani;VE;0;20;
120214;2M;P;59247; ; ;Vers.prod.pre;WP1;0;1180;
180214;605;C;119620;1;2057;Vendita piani;VE;0;200;
190214;633;C;119642;1;4289;Vendita piani;VE;0;20;
200214;646;C;119608;1;2046;Vendita piani;VE;0;60;
240214;699;C;119682;1;862;Vendita piani;VE;0;20;
280214;768;C;119781;1;1444;Vendita piani;VE;0;40;
50314;830;C;119866;1;1428;Vendita piani;VE;0;60;
60314;848;C;119881;1;2372;Vendita piani;VE;0;60;
70314;871;C;119895;1;5007;Vendita piani;VE;0;60;
70314;876;C;119899;1;1017;Vendita piani;VE;0;20;
70314;881;C;119903;1;930;Vendita piani;VE;0;60;
100314;895;C;119934;1;3182;Vendita piani;VE;0;20;
140314;967;C;120023;1;2091;Vendita piani;VE;0;60;
170314;983;C;120030;1;4346;Vendita piani;VE;0;40;
170314;986;C;120051;1;6127;Vendita piani;VE;0;20;
190314;1034;C;120077;1;1003;Vendita piani;VE;0;20;
260314;03M;P;59359; ; ;Vers.prod.pre;WP1;0;727;
270314;03P;P;59359; ; ;Vers.prod.pre;WP1;0; ;
270314;1149;C;119705;1;3518;Vendita piani;VE;0;1000;
270314;1131;C;120193;1;1428;Vendita piani;VE;0;40;
310314;1186;C;120254;1;2046;Vendita piani;VE;0;36;
80414;1312;C;120379;1;2046;Vendita piani;VE;0;20;
140414;1384;C;120381;1;5538;Vendita piani;VE;0;40;
180414;1464;C;120536;1;857;Vendita piani;VE;0;40;
280414;1549;C;120598;1;862;Vendita piani;VE;0;20;
290414;1573;C;120619;1;861;Vendita piani;VE;0;20;
290414;1575;C;120617;1;1897;Vendita piani;VE;0;100;
290414;1578;C;120636;1;1428;Vendita piani;VE;0;40;
300414;1655;C;120662;1;2839;Vendita piani;VE;0;20;
300414;1662;C;120681;1;1694;Vendita piani;VE;0;40;
60514;1674;C;120702;1;2121;Vendita piani;VE;0;40;
90514;1742;C;120747;1;862;Vendita piani;VE;0;20;
130514;1774;C;120801;1;308;Vendita piani;VE;0;20;
150514;1809;C;120766;1;1173;Vendita piani;VE;0;60;
220514;1940;C;120925;1;4660;Vendita piani;VE;0;20;
260514;1981;C;120817;1;6144;Vendita piani;VE;0;20;
280514;5M;P;59657; ; ;Vers.prod.pre;WP1;0;1640;
280514;2035;C;121050;1;1428;Vendita piani;VE;0;20;
290514;05P;P;59657; ; ;Vers.prod.pre;WP1;0; ;
30614;2107;C;121144;1;1020;Vendita piani;VE;0;80;
40614;2111;C;121141;1;3590;Vendita piani;VE;0;200;
90614;2167;C;121192;1;335;Vendita piani;VE;0;20;
110614;2236;C;121264;1;2046;Vendita piani;VE;0;20;
120614;2262;C;121276;1;857;Vendita piani;VE;0;20;
130614;2281;C;121283;1;1428;Vendita piani;VE;0;40;
190614;2354;C;121387;1;2199;Vendita piani;VE;0;20;
190614;2357;C;121356;1;4104;Vendita piani;VE;0;20;
190614;2359;C;121354;1;3590;Vendita;VE;piani;0;20
240614;2416;C;121413;1;3977;Vendita;VE;piani;0;40
270614;2479;C;121487;1;857;Vendita;VE;piani;0;20
270614;2486;C;121497;1;308;Vendita;VE;piani;0;20
300614;2519;C;121502;1;4670;Vendita;VE;piani;0;40
