280114;320;C;117909;5796;E;6;VE;0;9000
180214;611;C;118019;5796;E;6;VE;0;1000
280214;35;C;119616;563; ; ;TRCE;0;1
140314;950;C;119454;5796;E;6;VE;0;1500
270314;1145;C;118276;5796;E;6;VE;0;1599
20414;4M;P;59616; ; ; ;SV1;0;253
300414;1629;C;118276;5796;E;6;VE;0;1401
300414;1630;C;120178;5796;E;6;VE;0;99
300414;1633;C;120178;5796;E;6;VE;0;400
230514;1970;C;120178;5796;E;6;VE;0;4652
90714;2653;C;119201;5796;E;6;VE;0;3000
150914;3274;C;119456;5796;E;6;VE;0;3300
201114;4308;C;122389;5796;E;6;VE;0;3000
171214;4723;C;123630;5796;E;6;VE;0;2000
181214;4753;C;119935;5796;E;6;VE;0;5000
190115;177;C;122390;5796;E;6;VE;0;6000
90215;11;C;124386;563; ; ;TRCE;0;1
20315;11; ; ; ; ; ;EG;0;1
30315; ; ; ; ; ; ;UGCC;0;1
50315;800;C;122914;5796;E;6;VE;0;3000
200415;1482;C;123378;5796;E;6;VE;0;3230
70515;1744;C;122915;5796;E;6;VE;0;2000
140715;2675;C;124460;5796;E;6;VE;0;3024
170915;3309;C;126025;5796;E;6;VE;0;2000
101215;4638;C;124461;5796;E;6;VE;0;3024
101215;4638;C;127585;5796;E;6;VE;0;1000
111215;4651;C;128183;5796;E;6;VE;0;1650
120116;78;C;126257;5796;E;6;VE;0;3024
120116;78;C;127586;5796;E;6;VE;0;2000
270116;314;C;126670;5796;E;6;VE;0;3000
80216;MAG02;P; ; ; ; ;PP;0;1
90216;516;C;127587;5796;E;6;VE;0;2000
20316;MAG03;P; ; ; ; ;PP;0;1
140316;1065;C;127878;5796;E;6;VE;0;1119
290316;1279;C;127878;5796;E;6;VE;0;2020
40516;1846;C;130816;5796;E;6;VE;0;2000
190516;2086;C;130178;5796;E;6;VE;0;3000
10616;2313;C;129759;5796;E;6;VE;0;2000
100616;2425;C;131366;5796;E;6;VE;0;2000
240616;2679;C;128621;5796;E;6;VE;0;3000
270716;3221;C;131841;5796;E;6;VE;0;3000
190916;3664;C;129205;5796;E;6;VE;0;3000
21216;4834;C;133209;5796;E;6;VE;0;3000
61216;4876;C;132681;5796;E;6;VE;0;2000
201216;5050;C;133205;5796;E;6;VE;0;3000
160117;143;C;133205;5796;E;6;VE;0;2000
300117;323;C;134302;5796;E;6;VE;0;1000
90217;510;C;133145;5796;E;6;VE;0;3000
90217;511;C;133206;5796;E;6;VE;0;5000
90217;512;C;134017;5796;E;6;VE;0;1500
90317;976;C;134845;5796;E;6;VE;0;1500
170317;1141;C;133207;5796;E;6;VE;0;5000
120417;1575;C;133208;5796;E;6;VE;0;3000
120417;1576;C;135185;5796;E;6;VE;0;2000
120417;1577;C;135049;5796;E;6;VE;0;2000
270417;1746;C;135234;5796;E;6;VE;0;2000
120517;1978;C;135750;5796;E;6;VE;0;1666
190617;2521;C;135750;5796;E;6;VE;0;334
40717;2750;C;136101;5796;E;6;VE;0;2000
50717;2772;C;133942;5796;E;6;VE;0;5000
40917;3276;C;136686;5796;E;6,18;VE;0;2000
260917;3648;C;137157;5796;E;6,2;VE;0;1000
